品牌,屏幕尺寸,效能等级,分辨率,电视类型,品牌类型,观看距离,用户优先,产品渠道,覆盖组合个数
创维,55英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,15
MAXHUB,32英寸及以下,无效能等级,全高清(1920×1080),全面屏,国产品牌,3m-3.5m(56-65英寸),京品电视,线下同款,20
tcl,78英寸及以上,不选,4k超高清(3840×2160),人工智能,不选,2m-2.5m(33-45英寸),不选,线上专供,16
三星,70-75英寸,三级效能,全高清(1920×1080),游戏电视,合资品牌,2m以下(≤32英寸),京品电视,不选,21
酷开,不选,不选,全高清(1920×1080),教育电视,国产品牌,不选,新品电视,线下同款,16
不选,70-75英寸,不选,高清(1366×768),智慧屏,合资品牌,不选,京品电视,线上专供,13
sony,不选,一级效能,4k超高清(3840×2160),超薄,不选,不选,新品电视,不选,15
华为,70-75英寸,无效能等级,高清(1366×768),量子点,互联网品牌,3.5m以上(70英寸以上),新品电视,线上专供,16
haier,39-45英寸,无效能等级,高清(1366×768),不选,不选,不选,不选,线上专供,15
LG,58-60英寸,一级效能,8k超高清(7680×4320),4K超清,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,16
菲利普,55英寸,无效能等级,8k超高清(7680×4320),大屏,合资品牌,2m-2.5m(33-45英寸),京品电视,线上专供,17
三星,48-50英寸,一级效能,8k超高清(7680×4320),教育电视,互联网品牌,不选,新品电视,不选,16
长虹,39-45英寸,二级效能,不选,激光电视,商业显示品牌,2.5m-3m(46-55英寸),不选,线下同款,20
华为,65英寸,无效能等级,4k超高清(3840×2160),大屏,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,17
华为,32英寸及以下,一级效能,4k超高清(3840×2160),人工智能,国产品牌,2m以下(≤32英寸),京品电视,线下同款,19
sharp,58-60英寸,二级效能,全高清(1920×1080),商业显示,商业显示品牌,3m-3.5m(56-65英寸),京品电视,线下同款,22
VIH,65英寸,二级效能,8k超高清(7680×4320),量子点,国产品牌,2m以下(≤32英寸),不选,不选,19
sharp,不选,二级效能,高清(1366×768),智慧屏,商业显示品牌,不选,新品电视,线上专供,12
菲利普,不选,三级效能,高清(1366×768),曲面,互联网品牌,2m-2.5m(33-45英寸),不选,线上专供,19
MAXHUB,70-75英寸,不选,不选,智慧屏,国产品牌,2m-2.5m(33-45英寸),京品电视,线下同款,18
sharp,70-75英寸,不选,全高清(1920×1080),全面屏,互联网品牌,不选,不选,不选,14
华为,48-50英寸,不选,8k超高清(7680×4320),超薄,不选,3.5m以上(70英寸以上),不选,线下同款,17
酷开,48-50英寸,二级效能,高清(1366×768),不选,不选,不选,京品电视,不选,14
Panasonic,不选,不选,8k超高清(7680×4320),OLED,合资品牌,2m以下(≤32英寸),新品电视,线下同款,16
sony,70-75英寸,无效能等级,不选,4K超清,国产品牌,2m以下(≤32英寸),新品电视,线上专供,15
haier,55英寸,不选,全高清(1920×1080),游戏电视,国产品牌,不选,不选,线下同款,15
konka,39-45英寸,不选,8k超高清(7680×4320),曲面,互联网品牌,不选,京品电视,线上专供,17
LG,不选,三级效能,不选,量子点,国产品牌,2m以下(≤32英寸),京品电视,不选,16
sony,32英寸及以下,二级效能,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,16
Hisense,70-75英寸,无效能等级,高清(1366×768),人工智能,国产品牌,2.5m-3m(46-55英寸),新品电视,线下同款,15
长虹,39-45英寸,三级效能,8k超高清(7680×4320),全面屏,国产品牌,2m-2.5m(33-45英寸),不选,不选,15
VID^^,32英寸及以下,三级效能,8k超高清(7680×4320),激光电视,不选,2m以下(≤32英寸),京品电视,不选,19
MAXHUB,32英寸及以下,三级效能,高清(1366×768),商业显示,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,16
三星,65英寸,一级效能,高清(1366×768),游戏电视,合资品牌,2.5m-3m(46-55英寸),不选,线上专供,16
菲利普,78英寸及以上,无效能等级,不选,量子点,互联网品牌,不选,京品电视,不选,14
华为,55英寸,不选,4k超高清(3840×2160),智慧屏,合资品牌,不选,京品电视,不选,16
VIH,48-50英寸,二级效能,高清(1366×768),4K超清,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,13
华为,32英寸及以下,三级效能,全高清(1920×1080),大屏,互联网品牌,3m-3.5m(56-65英寸),新品电视,线上专供,18
tcl,55英寸,无效能等级,全高清(1920×1080),超薄,商业显示品牌,2m以下(≤32英寸),京品电视,线下同款,16
酷开,不选,一级效能,不选,不选,不选,2m-2.5m(33-45英寸),京品电视,不选,13
Panasonic,78英寸及以上,无效能等级,4k超高清(3840×2160),人工智能,合资品牌,不选,新品电视,线下同款,15
konka,58-60英寸,三级效能,高清(1366×768),全面屏,不选,2m以下(≤32英寸),京品电视,不选,18
haier,不选,不选,全高清(1920×1080),OLED,不选,不选,新品电视,线上专供,18
菲利普,65英寸,一级效能,不选,曲面,不选,不选,新品电视,不选,16
创维,39-45英寸,不选,高清(1366×768),大屏,互联网品牌,3m-3.5m(56-65英寸),新品电视,线下同款,13
菲利普,70-75英寸,一级效能,4k超高清(3840×2160),4K超清,不选,2.5m-3m(46-55英寸),京品电视,不选,15
创维,70-75英寸,不选,8k超高清(7680×4320),商业显示,不选,3m-3.5m(56-65英寸),京品电视,不选,16
MAXHUB,39-45英寸,不选,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,不选,14
不选,48-50英寸,一级效能,8k超高清(7680×4320),智慧屏,互联网品牌,3m-3.5m(56-65英寸),不选,线上专供,13
haier,不选,不选,高清(1366×768),激光电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,14
VIH,70-75英寸,三级效能,高清(1366×768),教育电视,合资品牌,不选,新品电视,线上专供,13
LG,78英寸及以上,二级效能,高清(1366×768),超薄,合资品牌,2.5m-3m(46-55英寸),不选,不选,16
三星,58-60英寸,一级效能,高清(1366×768),人工智能,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,12
konka,65英寸,一级效能,全高清(1920×1080),量子点,合资品牌,2.5m-3m(46-55英寸),新品电视,线下同款,16
Panasonic,78英寸及以上,三级效能,4k超高清(3840×2160),不选,互联网品牌,2m以下(≤32英寸),不选,线下同款,16
Panasonic,不选,无效能等级,高清(1366×768),全面屏,商业显示品牌,3.5m以上(70英寸以上),京品电视,线上专供,14
酷开,78英寸及以上,一级效能,4k超高清(3840×2160),全面屏,不选,3.5m以上(70英寸以上),京品电视,线下同款,17
tcl,48-50英寸,一级效能,不选,曲面,合资品牌,不选,不选,线下同款,14
tcl,32英寸及以下,不选,高清(1366×768),OLED,不选,2.5m-3m(46-55英寸),不选,线下同款,15
酷开,39-45英寸,一级效能,高清(1366×768),教育电视,互联网品牌,2m以下(≤32英寸),京品电视,线下同款,18
不选,不选,二级效能,全高清(1920×1080),商业显示,国产品牌,3.5m以上(70英寸以上),新品电视,不选,11
创维,70-75英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2.5m-3m(46-55英寸),不选,不选,11
菲利普,58-60英寸,二级效能,高清(1366×768),OLED,不选,3.5m以上(70英寸以上),新品电视,不选,14
sharp,55英寸,二级效能,不选,全面屏,合资品牌,3.5m以上(70英寸以上),新品电视,线上专供,15
不选,不选,无效能等级,全高清(1920×1080),智慧屏,国产品牌,3m-3.5m(56-65英寸),新品电视,线上专供,12
小米,78英寸及以上,三级效能,4k超高清(3840×2160),4K超清,不选,3.5m以上(70英寸以上),不选,不选,12
不选,58-60英寸,二级效能,不选,大屏,互联网品牌,3m-3.5m(56-65英寸),新品电视,线上专供,11
创维,58-60英寸,无效能等级,全高清(1920×1080),超薄,不选,2.5m-3m(46-55英寸),新品电视,线上专供,11
不选,不选,不选,8k超高清(7680×4320),量子点,互联网品牌,2.5m-3m(46-55英寸),京品电视,不选,11
Hisense,48-50英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,不选,13
LG,48-50英寸,三级效能,高清(1366×768),人工智能,互联网品牌,3.5m以上(70英寸以上),新品电视,线上专供,16
VIH,58-60英寸,无效能等级,高清(1366×768),人工智能,合资品牌,2m-2.5m(33-45英寸),不选,不选,16
VIH,55英寸,不选,4k超高清(3840×2160),大屏,国产品牌,2.5m-3m(46-55英寸),不选,不选,17
konka,78英寸及以上,一级效能,4k超高清(3840×2160),商业显示,互联网品牌,不选,不选,线上专供,17
tcl,32英寸及以下,无效能等级,高清(1366×768),游戏电视,互联网品牌,2m-2.5m(33-45英寸),新品电视,不选,12
不选,不选,不选,高清(1366×768),教育电视,互联网品牌,2.5m-3m(46-55英寸),新品电视,不选,9
菲利普,65英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,12
VIH,32英寸及以下,二级效能,全高清(1920×1080),智慧屏,合资品牌,3.5m以上(70英寸以上),新品电视,线上专供,14
Panasonic,39-45英寸,一级效能,全高清(1920×1080),量子点,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,14
sony,78英寸及以上,无效能等级,全高清(1920×1080),超薄,互联网品牌,2m-2.5m(33-45英寸),京品电视,线下同款,16
创维,55英寸,二级效能,4k超高清(3840×2160),曲面,不选,2.5m-3m(46-55英寸),新品电视,线下同款,11
konka,78英寸及以上,无效能等级,高清(1366×768),4K超清,合资品牌,2m以下(≤32英寸),新品电视,不选,11
创维,58-60英寸,不选,8k超高清(7680×4320),激光电视,不选,2m-2.5m(33-45英寸),不选,线下同款,14
MAXHUB,不选,三级效能,8k超高清(7680×4320),人工智能,合资品牌,2m-2.5m(33-45英寸),不选,线下同款,18
三星,32英寸及以下,二级效能,4k超高清(3840×2160),游戏电视,合资品牌,3m-3.5m(56-65英寸),不选,不选,17
VID^^,58-60英寸,三级效能,4k超高清(3840×2160),4K超清,国产品牌,2m-2.5m(33-45英寸),不选,线上专供,18
菲利普,65英寸,三级效能,4k超高清(3840×2160),教育电视,互联网品牌,2m-2.5m(33-45英寸),新品电视,不选,18
VIH,39-45英寸,二级效能,4k超高清(3840×2160),超薄,互联网品牌,2m以下(≤32英寸),新品电视,线下同款,17
小米,32英寸及以下,一级效能,不选,商业显示,国产品牌,3m-3.5m(56-65英寸),新品电视,线上专供,12
酷开,78英寸及以上,不选,全高清(1920×1080),OLED,合资品牌,3m-3.5m(56-65英寸),不选,不选,16
haier,58-60英寸,一级效能,8k超高清(7680×4320),曲面,不选,2.5m-3m(46-55英寸),新品电视,线下同款,16
酷开,70-75英寸,三级效能,4k超高清(3840×2160),智慧屏,互联网品牌,2m以下(≤32英寸),新品电视,线下同款,16
LG,78英寸及以上,一级效能,全高清(1920×1080),量子点,合资品牌,3.5m以上(70英寸以上),不选,线上专供,15
华为,55英寸,无效能等级,8k超高清(7680×4320),OLED,国产品牌,不选,新品电视,线上专供,12
三星,48-50英寸,三级效能,4k超高清(3840×2160),不选,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,14
酷开,65英寸,二级效能,8k超高清(7680×4320),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,12
小米,78英寸及以上,一级效能,高清(1366×768),激光电视,国产品牌,不选,新品电视,不选,11
LG,不选,无效能等级,4k超高清(3840×2160),游戏电视,国产品牌,2m以下(≤32英寸),京品电视,线下同款,15
菲利普,55英寸,不选,全高清(1920×1080),量子点,国产品牌,3m-3.5m(56-65英寸),新品电视,不选,12
不选,39-45英寸,一级效能,不选,OLED,合资品牌,3m-3.5m(56-65英寸),新品电视,不选,12
konka,55英寸,二级效能,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,12
Panasonic,70-75英寸,不选,高清(1366×768),4K超清,合资品牌,2m-2.5m(33-45英寸),京品电视,不选,15
长虹,78英寸及以上,一级效能,4k超高清(3840×2160),大屏,互联网品牌,2m-2.5m(33-45英寸),新品电视,线上专供,18
长虹,65英寸,二级效能,4k超高清(3840×2160),OLED,不选,2m以下(≤32英寸),新品电视,线上专供,12
VID^^,48-50英寸,三级效能,4k超高清(3840×2160),游戏电视,不选,2.5m-3m(46-55英寸),不选,线下同款,13
Hisense,39-45英寸,三级效能,高清(1366×768),曲面,合资品牌,2m-2.5m(33-45英寸),新品电视,线上专供,12
VID^^,48-50英寸,二级效能,8k超高清(7680×4320),商业显示,商业显示品牌,3.5m以上(70英寸以上),京品电视,线上专供,14
sharp,78英寸及以上,三级效能,4k超高清(3840×2160),教育电视,互联网品牌,2.5m-3m(46-55英寸),不选,不选,17
MAXHUB,70-75英寸,不选,不选,人工智能,互联网品牌,3.5m以上(70英寸以上),新品电视,线上专供,13
创维,55英寸,无效能等级,4k超高清(3840×2160),全面屏,互联网品牌,3.5m以上(70英寸以上),京品电视,线上专供,13
MAXHUB,65英寸,一级效能,8k超高清(7680×4320),智慧屏,不选,2.5m-3m(46-55英寸),新品电视,线上专供,16
VID^^,不选,三级效能,不选,超薄,不选,3m-3.5m(56-65英寸),新品电视,线上专供,12
tcl,78英寸及以上,无效能等级,4k超高清(3840×2160),激光电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,11
创维,78英寸及以上,不选,不选,4K超清,国产品牌,2m-2.5m(33-45英寸),新品电视,线下同款,10
MAXHUB,不选,不选,全高清(1920×1080),量子点,国产品牌,2.5m-3m(46-55英寸),不选,不选,14
长虹,70-75英寸,不选,高清(1366×768),曲面,国产品牌,不选,京品电视,线上专供,9
MAXHUB,55英寸,三级效能,全高清(1920×1080),大屏,互联网品牌,2m以下(≤32英寸),不选,线下同款,17
sony,32英寸及以下,不选,不选,超薄,商业显示品牌,不选,新品电视,线上专供,11
小米,48-50英寸,一级效能,4k超高清(3840×2160),智慧屏,合资品牌,2m-2.5m(33-45英寸),京品电视,不选,14
不选,不选,二级效能,全高清(1920×1080),全面屏,互联网品牌,2.5m-3m(46-55英寸),不选,线上专供,9
tcl,78英寸及以上,无效能等级,全高清(1920×1080),商业显示,商业显示品牌,不选,新品电视,线上专供,13
tcl,39-45英寸,一级效能,全高清(1920×1080),游戏电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,12
不选,78英寸及以上,无效能等级,不选,不选,不选,2m以下(≤32英寸),新品电视,线上专供,9
菲利普,39-45英寸,二级效能,全高清(1920×1080),人工智能,不选,不选,不选,不选,16
Panasonic,70-75英寸,二级效能,不选,激光电视,不选,2m以下(≤32英寸),新品电视,线上专供,11
Hisense,70-75英寸,无效能等级,全高清(1920×1080),教育电视,互联网品牌,3m-3.5m(56-65英寸),新品电视,不选,18
酷开,不选,三级效能,4k超高清(3840×2160),4K超清,互联网品牌,3m-3.5m(56-65英寸),不选,线上专供,13
sharp,78英寸及以上,无效能等级,8k超高清(7680×4320),游戏电视,不选,3m-3.5m(56-65英寸),新品电视,线上专供,15
长虹,65英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,3.5m以上(70英寸以上),不选,不选,13
konka,48-50英寸,三级效能,全高清(1920×1080),不选,不选,2m-2.5m(33-45英寸),新品电视,线下同款,13
Hisense,55英寸,二级效能,4k超高清(3840×2160),量子点,互联网品牌,不选,京品电视,线下同款,12
VIH,65英寸,无效能等级,全高清(1920×1080),超薄,国产品牌,2m-2.5m(33-45英寸),新品电视,线下同款,12
haier,78英寸及以上,无效能等级,4k超高清(3840×2160),曲面,商业显示品牌,3.5m以上(70英寸以上),京品电视,线下同款,13
Hisense,70-75英寸,无效能等级,全高清(1920×1080),商业显示,国产品牌,2m-2.5m(33-45英寸),新品电视,线上专供,13
VIH,65英寸,二级效能,全高清(1920×1080),全面屏,不选,不选,不选,线上专供,14
Panasonic,78英寸及以上,二级效能,高清(1366×768),大屏,不选,2.5m-3m(46-55英寸),不选,线下同款,15
不选,58-60英寸,一级效能,不选,激光电视,互联网品牌,3m-3.5m(56-65英寸),新品电视,线上专供,8
LG,39-45英寸,三级效能,全高清(1920×1080),教育电视,互联网品牌,2m以下(≤32英寸),不选,线下同款,17
华为,58-60英寸,无效能等级,不选,智慧屏,不选,2m以下(≤32英寸),新品电视,线上专供,12
华为,70-75英寸,不选,全高清(1920×1080),超薄,合资品牌,不选,新品电视,线上专供,14
华为,70-75英寸,二级效能,全高清(1920×1080),曲面,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,12
创维,55英寸,三级效能,不选,不选,合资品牌,3.5m以上(70英寸以上),新品电视,不选,11
小米,70-75英寸,无效能等级,4k超高清(3840×2160),OLED,国产品牌,3m-3.5m(56-65英寸),不选,线上专供,11
长虹,58-60英寸,三级效能,全高清(1920×1080),人工智能,商业显示品牌,不选,不选,线上专供,14
sharp,48-50英寸,不选,不选,不选,国产品牌,2m以下(≤32英寸),京品电视,线下同款,15
长虹,39-45英寸,无效能等级,8k超高清(7680×4320),量子点,互联网品牌,3.5m以上(70英寸以上),新品电视,线上专供,12
konka,32英寸及以下,无效能等级,高清(1366×768),OLED,合资品牌,2m以下(≤32英寸),新品电视,线下同款,11
konka,65英寸,不选,不选,激光电视,国产品牌,3.5m以上(70英寸以上),不选,线上专供,15
华为,55英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,不选,12
sony,65英寸,不选,8k超高清(7680×4320),全面屏,合资品牌,2m-2.5m(33-45英寸),京品电视,线上专供,14
tcl,不选,三级效能,8k超高清(7680×4320),智慧屏,不选,2m以下(≤32英寸),新品电视,线上专供,12
创维,78英寸及以上,无效能等级,高清(1366×768),商业显示,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,9
Hisense,32英寸及以下,二级效能,全高清(1920×1080),不选,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,12
sony,55英寸,一级效能,8k超高清(7680×4320),大屏,不选,3.5m以上(70英寸以上),不选,不选,13
MAXHUB,55英寸,二级效能,高清(1366×768),超薄,不选,不选,新品电视,不选,12
Panasonic,48-50英寸,三级效能,不选,全面屏,不选,3.5m以上(70英寸以上),不选,线下同款,15
三星,65英寸,二级效能,8k超高清(7680×4320),4K超清,合资品牌,2m以下(≤32英寸),新品电视,线上专供,11
不选,48-50英寸,不选,不选,曲面,商业显示品牌,2m-2.5m(33-45英寸),京品电视,不选,10
VID^^,58-60英寸,不选,不选,人工智能,不选,3.5m以上(70英寸以上),不选,线下同款,13
菲利普,48-50英寸,无效能等级,高清(1366×768),量子点,不选,3m-3.5m(56-65英寸),新品电视,线上专供,11
长虹,32英寸及以下,无效能等级,4k超高清(3840×2160),游戏电视,互联网品牌,2.5m-3m(46-55英寸),不选,不选,13
LG,78英寸及以上,无效能等级,高清(1366×768),智慧屏,国产品牌,3m-3.5m(56-65英寸),新品电视,线上专供,10
长虹,39-45英寸,二级效能,8k超高清(7680×4320),大屏,不选,不选,不选,不选,14
tcl,39-45英寸,不选,不选,商业显示,不选,不选,京品电视,线下同款,11
不选,65英寸,无效能等级,4k超高清(3840×2160),教育电视,不选,3.5m以上(70英寸以上),京品电视,线上专供,10
三星,不选,二级效能,全高清(1920×1080),OLED,互联网品牌,2m-2.5m(33-45英寸),不选,不选,16
小米,55英寸,一级效能,高清(1366×768),超薄,国产品牌,3.5m以上(70英寸以上),新品电视,线下同款,11
菲利普,55英寸,三级效能,不选,激光电视,国产品牌,不选,京品电视,不选,12
创维,不选,无效能等级,4k超高清(3840×2160),4K超清,商业显示品牌,不选,新品电视,线上专供,10
VIH,32英寸及以下,无效能等级,高清(1366×768),全面屏,合资品牌,2m以下(≤32英寸),新品电视,线上专供,10
酷开,不选,一级效能,8k超高清(7680×4320),量子点,不选,3m-3.5m(56-65英寸),京品电视,不选,10
konka,78英寸及以上,二级效能,不选,曲面,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,13
haier,70-75英寸,二级效能,不选,OLED,互联网品牌,3.5m以上(70英寸以上),不选,不选,12
酷开,39-45英寸,三级效能,全高清(1920×1080),智慧屏,商业显示品牌,3.5m以上(70英寸以上),京品电视,线上专供,14
长虹,65英寸,不选,不选,人工智能,国产品牌,2.5m-3m(46-55英寸),新品电视,不选,14
LG,65英寸,无效能等级,不选,游戏电视,商业显示品牌,不选,新品电视,线上专供,11
sharp,58-60英寸,三级效能,高清(1366×768),人工智能,不选,2.5m-3m(46-55英寸),不选,不选,13
haier,32英寸及以下,不选,4k超高清(3840×2160),激光电视,国产品牌,不选,京品电视,不选,15
酷开,58-60英寸,无效能等级,8k超高清(7680×4320),超薄,商业显示品牌,3m-3.5m(56-65英寸),不选,线下同款,12
haier,32英寸及以下,一级效能,全高清(1920×1080),4K超清,不选,不选,京品电视,不选,12
sharp,78英寸及以上,一级效能,高清(1366×768),商业显示,互联网品牌,3.5m以上(70英寸以上),新品电视,线上专供,11
tcl,不选,无效能等级,8k超高清(7680×4320),不选,商业显示品牌,2.5m-3m(46-55英寸),不选,不选,12
tcl,58-60英寸,无效能等级,8k超高清(7680×4320),大屏,国产品牌,不选,不选,不选,13
小米,48-50英寸,三级效能,高清(1366×768),教育电视,商业显示品牌,3m-3.5m(56-65英寸),京品电视,线下同款,12
VID^^,78英寸及以上,二级效能,4k超高清(3840×2160),人工智能,合资品牌,不选,京品电视,线上专供,14
创维,70-75英寸,一级效能,不选,量子点,合资品牌,2m-2.5m(33-45英寸),京品电视,线上专供,10
VIH,不选,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,不选,11
小米,不选,无效能等级,高清(1366×768),游戏电视,商业显示品牌,不选,京品电视,线上专供,11
菲利普,32英寸及以下,一级效能,不选,智慧屏,商业显示品牌,3.5m以上(70英寸以上),不选,不选,14
不选,32英寸及以下,不选,不选,商业显示,互联网品牌,不选,不选,线上专供,7
不选,48-50英寸,一级效能,高清(1366×768),超薄,国产品牌,3.5m以上(70英寸以上),京品电视,不选,11
菲利普,48-50英寸,二级效能,8k超高清(7680×4320),激光电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,9
Panasonic,58-60英寸,一级效能,高清(1366×768),OLED,国产品牌,2m-2.5m(33-45英寸),不选,不选,14
菲利普,70-75英寸,三级效能,全高清(1920×1080),大屏,互联网品牌,2m以下(≤32英寸),新品电视,线下同款,15
konka,55英寸,一级效能,全高清(1920×1080),4K超清,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,13
sharp,70-75英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),不选,线上专供,12
三星,70-75英寸,不选,不选,大屏,商业显示品牌,不选,京品电视,线上专供,13
LG,55英寸,不选,高清(1366×768),不选,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,10
三星,58-60英寸,三级效能,不选,全面屏,不选,2m-2.5m(33-45英寸),不选,线上专供,14
sony,不选,不选,高清(1366×768),教育电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,8
华为,65英寸,无效能等级,高清(1366×768),商业显示,互联网品牌,2m以下(≤32英寸),新品电视,不选,11
VIH,70-75英寸,不选,高清(1366×768),游戏电视,国产品牌,3.5m以上(70英寸以上),不选,线上专供,14
三星,39-45英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,3.5m以上(70英寸以上),新品电视,线下同款,10
Panasonic,55英寸,一级效能,8k超高清(7680×4320),智慧屏,商业显示品牌,3m-3.5m(56-65英寸),京品电视,线上专供,13
三星,65英寸,一级效能,8k超高清(7680×4320),曲面,互联网品牌,3.5m以上(70英寸以上),新品电视,线上专供,12
MAXHUB,32英寸及以下,一级效能,不选,曲面,互联网品牌,2m-2.5m(33-45英寸),不选,不选,14
konka,32英寸及以下,无效能等级,4k超高清(3840×2160),激光电视,不选,3m-3.5m(56-65英寸),新品电视,不选,14
LG,32英寸及以下,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),不选,线上专供,7
VID^^,32英寸及以下,二级效能,8k超高清(7680×4320),全面屏,不选,不选,不选,不选,11
小米,不选,二级效能,全高清(1920×1080),不选,国产品牌,2.5m-3m(46-55英寸),不选,不选,11
sony,55英寸,三级效能,高清(1366×768),超薄,合资品牌,2.5m-3m(46-55英寸),新品电视,线下同款,10
MAXHUB,65英寸,一级效能,高清(1366×768),量子点,商业显示品牌,不选,新品电视,线上专供,10
sony,39-45英寸,无效能等级,不选,全面屏,商业显示品牌,不选,新品电视,线上专供,10
不选,58-60英寸,三级效能,4k超高清(3840×2160),商业显示,合资品牌,3.5m以上(70英寸以上),新品电视,线上专供,7
konka,39-45英寸,一级效能,不选,4K超清,互联网品牌,不选,新品电视,不选,12
Hisense,65英寸,二级效能,高清(1366×768),智慧屏,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,11
华为,70-75英寸,不选,8k超高清(7680×4320),游戏电视,不选,3m-3.5m(56-65英寸),不选,线下同款,14
sony,65英寸,一级效能,4k超高清(3840×2160),教育电视,合资品牌,2m-2.5m(33-45英寸),不选,不选,12
haier,78英寸及以上,无效能等级,高清(1366×768),量子点,国产品牌,3m-3.5m(56-65英寸),新品电视,线下同款,11
tcl,不选,不选,全高清(1920×1080),激光电视,不选,不选,京品电视,不选,10
sharp,65英寸,一级效能,不选,OLED,不选,3m-3.5m(56-65英寸),不选,不选,13
sony,不选,不选,不选,人工智能,合资品牌,3.5m以上(70英寸以上),新品电视,线上专供,9
长虹,48-50英寸,无效能等级,全高清(1920×1080),大屏,国产品牌,3.5m以上(70英寸以上),新品电视,不选,10
酷开,39-45英寸,无效能等级,全高清(1920×1080),商业显示,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,9
Panasonic,39-45英寸,不选,8k超高清(7680×4320),不选,合资品牌,不选,京品电视,线上专供,13
konka,不选,不选,不选,超薄,不选,不选,不选,线下同款,11
tcl,65英寸,无效能等级,4k超高清(3840×2160),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,不选,7
VID^^,55英寸,一级效能,8k超高清(7680×4320),大屏,互联网品牌,不选,不选,不选,12
sony,32英寸及以下,三级效能,不选,智慧屏,合资品牌,不选,不选,线下同款,11
sony,55英寸,一级效能,不选,游戏电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,不选,9
sony,48-50英寸,不选,全高清(1920×1080),全面屏,互联网品牌,2m以下(≤32英寸),新品电视,线下同款,10
酷开,32英寸及以下,无效能等级,4k超高清(3840×2160),教育电视,合资品牌,2m以下(≤32英寸),新品电视,线下同款,10
不选,78英寸及以上,无效能等级,4k超高清(3840×2160),量子点,国产品牌,3m-3.5m(56-65英寸),新品电视,线上专供,9
三星,不选,三级效能,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,7
不选,70-75英寸,三级效能,8k超高清(7680×4320),激光电视,合资品牌,3m-3.5m(56-65英寸),新品电视,线上专供,8
konka,78英寸及以上,二级效能,不选,人工智能,不选,不选,京品电视,线下同款,10
三星,55英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,不选,7
创维,58-60英寸,一级效能,4k超高清(3840×2160),商业显示,合资品牌,2m以下(≤32英寸),新品电视,线下同款,9
Hisense,65英寸,不选,4k超高清(3840×2160),OLED,商业显示品牌,不选,京品电视,线上专供,10
konka,48-50英寸,无效能等级,4k超高清(3840×2160),超薄,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线下同款,10
sharp,58-60英寸,无效能等级,高清(1366×768),不选,商业显示品牌,3m-3.5m(56-65英寸),新品电视,不选,9
长虹,48-50英寸,无效能等级,高清(1366×768),游戏电视,合资品牌,2m-2.5m(33-45英寸),新品电视,线上专供,8
LG,不选,不选,8k超高清(7680×4320),全面屏,互联网品牌,不选,不选,不选,14
酷开,不选,无效能等级,8k超高清(7680×4320),激光电视,不选,3.5m以上(70英寸以上),不选,不选,10
